ItemName,URL,CurrentPrice
Exceed Men Summer Collection Casual Slidders EF-0207,//www.daraz.pk/products/exceed-men-summer-collection-casual-slidders-ef-0207-i139802386-s1299784419.html?search=1,1199.0
Pierre Cardin Women Summer Collection Chaimpagne Casual Slipper CF-0260,//www.daraz.pk/products/pierre-cardin-women-summer-collection-chaimpagne-casual-slipper-cf-0260-i139812168-s1300322279.html?search=1,2495.0
Aerosoft Black Synthetic Leather Slippers For Men A5103,//www.daraz.pk/products/aerosoft-black-synthetic-leather-slippers-for-men-a5103-i1857574-s9804308.html?search=1,1500.0
Classic Shoes For Mens Running Shoes,//www.daraz.pk/products/classic-shoes-for-mens-running-shoes-i135078992-s1295411185.html?search=1,449.0
Men casual shoes,//www.daraz.pk/products/men-casual-shoes-i136982628-s1297152257.html?search=1,899.0
Men Casual Chappal New Arrival Export quality,//www.daraz.pk/products/men-casual-chappal-new-arrival-export-quality-i134332493-s1294709488.html?search=1,395.0
RAJA CASUAL CHAPPAL FOR MEN FLIPFLOP CHINA BLACK IN COLOUR,//www.daraz.pk/products/raja-casual-chappal-for-men-flipflop-china-black-in-colour-i140368075-s1300366732.html?search=1,299.0
GLAZOV Italian Mens Shoes Casual Brands Slip On Formal Luxury Shoes Men Loafers,//www.daraz.pk/products/glazov-italian-mens-shoes-casual-brands-slip-on-formal-luxury-shoes-men-loafers-i134947856-s1295297168.html?search=1,999.0
Cozy Shoes for men Loafers moccassion high quality Export quality,//www.daraz.pk/products/cozy-shoes-for-men-loafers-moccassion-high-quality-export-quality-i134869068-s1295155836.html?search=1,199.0
DELUX CASUAL BLACK CHAPPAL FOR MEN WITH LATEST DESIGN,//www.daraz.pk/products/delux-casual-black-chappal-for-men-with-latest-design-i135218281-s1295522431.html?search=1,450.0
Shoes for men Moccasin Loafers Rubber Shoes With Bow Style,//www.daraz.pk/products/shoes-for-men-moccasin-loafers-rubber-shoes-with-bow-style-i133642920-s1294055849.html?search=1,499.0
New Stylish Casual Jeans Shoes for Men Blue Color,//www.daraz.pk/products/new-stylish-casual-jeans-shoes-for-men-blue-color-i139766537-s1299744401.html?search=1,499.0
Cozy Shoes for men Loafers high quality Rubber Shoes,//www.daraz.pk/products/cozy-shoes-for-men-loafers-high-quality-rubber-shoes-i132837436-s1293073978.html?search=1,299.0
WaterProof Comfortable Casual Slippers For Men - Carpet Slippers,//www.daraz.pk/products/waterproof-comfortable-casual-slippers-for-men-carpet-slippers-i125634826-s1283704310.html?search=1,199.0
RAIN SHOES COVER,//www.daraz.pk/products/waterproof-rain-boot-covers-motocycle-protective-gear-foldable-shoe-covers-anti-slip-i135010624-s1295344549.html?search=1,399.0
Blue Rubber Moccasins For Men,//www.daraz.pk/products/blue-rubber-moccasins-for-men-i127438829-s1286430881.html?search=1,349.0
Hand Made Leather Formal Shoes,//www.daraz.pk/products/hand-made-leather-formal-shoes-i128105109-s1286866155.html?search=1,2000.0
